iter	Passed	Remaining
408	5128	7410
409	5139	7395
410	5155	7387
411	5165	7372
412	5177	7358
413	5189	7344
414	5199	7329
415	5211	7315
416	5221	7300
417	5232	7285
418	5243	7271
419	5254	7256
420	5265	7241
421	5276	7227
422	5287	7211
423	5298	7197
424	5310	7184
425	5320	7169
426	5331	7154
427	5343	7140
428	5354	7126
429	5365	7112
430	5376	7098
431	5388	7084
432	5398	7069
433	5410	7055
434	5422	7042
435	5433	7028
436	5444	7014
437	5455	6999
438	5467	6987
439	5479	6973
440	5490	6959
441	5503	6947
442	5515	6934
443	5527	6921
444	5540	6909
445	5551	6896
446	5562	6882
447	5573	6867
448	5585	6853
449	5597	6841
450	5608	6827
451	5620	6814
452	5632	6801
453	5645	6790
454	5658	6777
455	5670	6764
456	5681	6750
457	5692	6736
458	5704	6723
459	5715	6708
460	5727	6696
461	5738	6682
462	5749	6668
463	5762	6656
464	5774	6643
465	5786	6630
466	5802	6622
467	5815	6610
468	5826	6596
469	5838	6583
470	5849	6569
471	5861	6556
472	5872	6542
473	5883	6529
474	5894	6515
475	5906	6502
476	5917	6488
477	5928	6474
478	5939	6459
479	5950	6446
480	5961	6432
481	5972	6418
482	5983	6404
483	5994	6390
484	6004	6375
485	6014	6361
486	6025	6346
487	6036	6332
488	6046	6318
489	6058	6305
490	6069	6291
491	6080	6277
492	6090	6263
493	6101	6249
494	6112	6235
495	6123	6222
496	6134	6208
497	6148	6197
498	6159	6184
499	6169	6169
500	6180	6156
501	6191	6142
502	6201	6127
503	6212	6113
504	6223	6100
505	6235	6087
506	6247	6074
507	6258	6061
508	6268	6047
509	6279	6033
510	6290	6019
511	6301	6005
512	6312	5992
513	6323	5978
514	6334	5965
515	6345	5951
516	6357	5939
517	6368	5925
518	6378	5911
519	6390	5898
520	6400	5884
521	6411	5871
522	6422	5857
523	6432	5843
524	6441	5828
525	6452	5814
526	6462	5800
527	6473	5786
528	6483	5772
529	6494	5759
530	6505	5746
531	6516	5732
532	6527	5719
533	6538	5706
534	6549	5692
535	6561	5679
536	6572	5666
537	6582	5652
538	6594	5640
539	6605	5626
540	6617	5614
541	6627	5600
542	6638	5587
543	6649	5573
544	6661	5561
545	6672	5548
546	6683	5535
547	6694	5521
548	6705	5508
549	6715	5494
550	6726	5481
551	6737	5467
552	6747	5454
553	6759	5441
554	6769	5427
555	6780	5414
556	6791	5401
557	6803	5389
558	6813	5375
559	6824	5362
560	6835	5349
561	6846	5335
562	6856	5322
563	6869	5310
564	6881	5297
565	6893	5285
