iter	Logloss
0	0.6659033815
1	0.6416351529
2	0.6253883266
3	0.6114587429
4	0.597280764
5	0.5829697109
6	0.5678413076
7	0.5588089794
8	0.5493170254
9	0.54353514
10	0.5383344505
11	0.531126321
12	0.5265950404
13	0.5216939993
14	0.5188423834
15	0.5164285671
16	0.5122669428
17	0.5099518786
18	0.5069709352
19	0.5052867185
20	0.5025282233
21	0.4979318071
22	0.4966001956
23	0.4953677569
24	0.4939750943
25	0.4919894158
26	0.4892490766
27	0.4876234849
28	0.4840018327
29	0.4830110177
30	0.4818057593
31	0.4805383077
32	0.4784670436
33	0.4778604
34	0.4775815177
35	0.4773352558
36	0.4759289503
37	0.4744396291
38	0.4730225635
39	0.4723279723
40	0.4718919091
41	0.4701029127
42	0.4698665933
43	0.4692275789
44	0.4683568021
45	0.4681758939
46	0.4678297341
47	0.46656148
48	0.4655368353
49	0.4644421389
50	0.4640480846
51	0.4627662789
52	0.4624205042
53	0.4594922919
54	0.4589843602
55	0.4586597207
56	0.45717209
57	0.4570106818
58	0.4568909886
59	0.4563657852
60	0.455278306
61	0.4548878091
62	0.4546769331
63	0.4544230235
64	0.4537745851
65	0.453682697
66	0.4535713444
67	0.4531321575
68	0.4527086967
69	0.4526177261
70	0.4522243299
71	0.4521274353
72	0.4519494217
73	0.4511379723
74	0.4505762898
75	0.4505112004
76	0.4503669262
77	0.4499129819
78	0.4496630738
79	0.4495806397
80	0.449201413
81	0.4483088702
82	0.4479610854
83	0.4474446508
84	0.4468696978
85	0.4462615885
86	0.4459666216
87	0.4457397609
88	0.4452395082
89	0.4447072486
90	0.4441288512
91	0.444079005
92	0.4437759608
93	0.4430875698
94	0.4424672591
95	0.4420560722
96	0.4418291273
97	0.4414154197
98	0.4412717638
99	0.4412203509
100	0.440842927
101	0.4404240736
102	0.440227032
103	0.4401479428
104	0.4400760336
105	0.439939761
106	0.4396341348
107	0.4394539956
108	0.4391527871
109	0.4387636073
110	0.438704923
111	0.4383631148
112	0.4381232473
113	0.4377399015
114	0.437680047
115	0.4375663765
116	0.4373767606
117	0.4373167966
118	0.4369204507
119	0.4365096368
120	0.4364459368
121	0.4363080515
122	0.4362144736
123	0.4361527552
124	0.4361133809
125	0.4360528647
126	0.4358241674
127	0.4356820497
128	0.4355158422
129	0.435400813
130	0.435342468
131	0.4352783227
132	0.4351018263
133	0.4343980181
134	0.4343442825
135	0.4341057263
136	0.4338050367
137	0.4336199208
138	0.4333743973
139	0.4331591171
140	0.4329196268
141	0.4328470095
142	0.4326234657
143	0.4323589493
144	0.4323298118
145	0.4322691711
146	0.4321938617
147	0.4319948899
148	0.4319451098
149	0.4318404278
150	0.4317542238
151	0.4316807698
152	0.4316215053
153	0.4314367969
154	0.4313745403
155	0.431260927
156	0.4311595765
157	0.4311171042
158	0.4308029309
159	0.4305949123
160	0.4305448433
161	0.4302853968
162	0.4297355036
163	0.4297085411
164	0.4292932571
165	0.4289687813
166	0.4286685555
167	0.4285965006
168	0.4284094845
169	0.4282285656
170	0.4279310335
171	0.4277575208
172	0.4274622078
173	0.4272063344
174	0.4271658142
175	0.4271282644
176	0.4270434396
177	0.426900041
178	0.4265987646
179	0.4265479501
180	0.4264989294
181	0.4264688089
182	0.4260092339
183	0.4257515213
184	0.4257111647
185	0.4255361075
186	0.4254832356
187	0.4254348602
188	0.4252770868
189	0.4251000723
190	0.4248266583
191	0.4247701812
192	0.4247284169
193	0.4246327764
194	0.4245871043
195	0.4245472648
196	0.4242782288
197	0.4241212162
198	0.4240525961
199	0.4240053437
200	0.4239320755
201	0.4238721178
202	0.4238291816
203	0.4236714025
204	0.4234764152
205	0.4230631963
206	0.4229295264
207	0.4229003598
208	0.4227680713
209	0.4225484349
210	0.4225232946
211	0.4224828614
212	0.4222843321
213	0.4218600158
214	0.4217333896
215	0.4214770328
216	0.4212055115
217	0.4211430305
218	0.4210990558
219	0.421044318
220	0.420584795
221	0.420412078
222	0.4202121669
223	0.4201708462
224	0.4199982241
225	0.4199349507
226	0.4198733167
227	0.4198260665
228	0.4195941578
229	0.4193687464
230	0.4193338182
231	0.4192765897
232	0.4191721053
233	0.4190228009
234	0.4187787201
235	0.4186910297
236	0.4185171324
237	0.4183576416
238	0.4181507507
239	0.418066997
240	0.4180372906
241	0.4179924624
242	0.4178710287
243	0.4178309293
244	0.417652771
245	0.4176059018
246	0.4175576109
247	0.4174633472
248	0.4173765801
249	0.4173299902
250	0.4172481544
251	0.4172121185
252	0.4171734415
253	0.4170277355
254	0.4169940866
255	0.4167848988
256	0.4165191044
257	0.4163579552
258	0.4161658845
259	0.4161185091
260	0.4160640703
261	0.4159684993
262	0.4159317001
263	0.4157604869
264	0.4157272151
265	0.4155837954
266	0.4155501032
267	0.4154765732
268	0.4154595355
269	0.415270772
270	0.4151261404
271	0.4150933842
272	0.4150688399
273	0.4149277505
274	0.4148394603
275	0.4147385144
